ticket_id,text,labels
t00128,I want to complain. What should I do?,complaint
t00129,I think i was hacked. What should I do?,security
t00130,Terrible service. What should I do?,complaint
t00131,Network keeps dropping billing seems off. Thanks in advance.,billing;network
t00132,Please return the money question about my bill the app crashes. Please advise.,billing;refund;software
t00133,I want to complain i was double-billed account settings problem. Thanks in advance.,billing;account;complaint
t00134,Can't see my account can't log in. Looking forward to your reply.,account;login
t00135,I want to complain billing seems off can't see my account. I would appreciate help.,billing;account;complaint
t00136,I want to complain. Looking forward to your reply.,complaint
t00137,Need this fixed now this is a complaint my account is locked. What should I do?,urgent;account;complaint
t00138,My account is locked question about my bill. Please advise.,billing;account
t00139,Account issue. Any guidance appreciated.,account
t00140,This is a complaint i need my money back. What should I do?,refund;complaint
t00141,This is urgent vpn won't connect. I would appreciate help.,urgent;network
t00142,I need my money back mfa not working i'm not happy wi-fi is down. Looking forward to your reply.,refund;complaint;network;login
t00143,Software bug. I would appreciate help.,software
t00144,This is urgent. What should I do?,urgent
t00145,Software update failed mfa not working account issue. I would appreciate help.,account;software;login
t00146,I was double-billed. Looking forward to your reply.,billing
t00147,Critical issue. Any guidance appreciated.,urgent
t00148,Billing seems off. Looking forward to your reply.,billing
t00149,Account settings problem can't connect to network need this fixed now. Any guidance appreciated.,urgent;account;network
t00150,Forgot my password software update failed. Looking forward to your reply.,software;login
t00151,Mfa not working. Thanks in advance.,login
t00152,Please return the money. Thanks in advance.,refund
t00153,Billing seems off. Please advise.,billing
t00154,This is a complaint. What should I do?,complaint
t00155,Critical issue this is a complaint billing seems off the app crashes. Any guidance appreciated.,billing;urgent;complaint;software
t00156,Can't see my account. Any guidance appreciated.,account
t00157,This is urgent. I would appreciate help.,urgent
t00158,My laptop won't turn on. Any guidance appreciated.,hardware
t00159,I was double-billed. Thanks in advance.,billing
t00160,Question about my bill. Looking forward to your reply.,billing
t00161,Application won't open critical issue. What should I do?,urgent;software
t00162,Account issue. I would appreciate help.,account
t00163,Software bug account issue. Please advise.,account;software
t00164,I want to complain account settings problem can't log in. Any guidance appreciated.,account;complaint;login
t00165,Application won't open my account is locked. What should I do?,account;software
t00166,My account is locked. Looking forward to your reply.,account
t00167,Software update failed my account is locked. Thanks in advance.,account;software
t00168,Account settings problem. What should I do?,account
t00169,Vpn won't connect account settings problem i was double-billed. Any guidance appreciated.,billing;account;network
t00170,This is urgent. Please advise.,urgent
t00171,Account issue. I would appreciate help.,account
t00172,My laptop won't turn on. Looking forward to your reply.,hardware
t00173,Billing seems off account issue. What should I do?,billing;account
t00174,I'm not happy. Any guidance appreciated.,complaint
t00175,Critical issue mfa not working software update failed i was double-billed. Please advise.,billing;urgent;software;login
t00176,Network keeps dropping. Any guidance appreciated.,network
t00177,Please return the money. Thanks in advance.,refund
t00178,I was double-billed software bug. Thanks in advance.,billing;software
t00179,Keyboard not working billing seems off account settings problem software update failed. I would appreciate help.,billing;account;hardware;software
t00180,Account issue. Any guidance appreciated.,account
t00181,I was double-billed can't log in screen is broken. Thanks in advance.,billing;hardware;login
t00182,Can't see my account critical issue. Please advise.,urgent;account
t00183,Suspicious login attempt. Please advise.,security
t00184,Software update failed. Please advise.,software
t00185,Application won't open. Looking forward to your reply.,software
t00186,I need my money back forgot my password. Please advise.,refund;login
t00187,Can't log in i want to complain. Please advise.,complaint;login
t00188,My account is locked need this fixed now. Thanks in advance.,urgent;account
t00189,Wi-fi is down i want a refund. Any guidance appreciated.,refund;network
t00190,This is urgent network keeps dropping the app crashes. Please advise.,urgent;software;network
t00191,Hardware problem. What should I do?,hardware
t00192,Network keeps dropping software update failed. Please advise.,software;network
t00193,Asap please. What should I do?,urgent
t00194,Question about my bill. Thanks in advance.,billing
t00195,Can't log in security alert question about my bill. Any guidance appreciated.,billing;security;login
t00196,Forgot my password. Please advise.,login
t00197,Mfa not working my laptop won't turn on. Looking forward to your reply.,hardware;login
t00198,Software bug screen is broken i'm not happy network keeps dropping need this fixed now. Thanks in advance.,urgent;complaint;hardware;software;network
t00199,Can't log in the app crashes. What should I do?,software;login
t00200,Application won't open can't see my account critical issue. What should I do?,urgent;account;software
t00201,I think i was hacked account settings problem screen is broken. Any guidance appreciated.,account;hardware;security
t00202,Security alert. Please advise.,security
t00203,Can't connect to network question about my bill. Any guidance appreciated.,billing;network
t00204,Software update failed terrible service. Any guidance appreciated.,complaint;software
t00205,Billing seems off my account is locked need this fixed now. Please advise.,billing;urgent;account
t00206,I was double-billed i want to complain. Looking forward to your reply.,billing;complaint
t00207,Application won't open asap please mfa not working. What should I do?,urgent;software;login
t00208,Can't connect to network. I would appreciate help.,network
t00209,Can't connect to network account issue my invoice is wrong. Please advise.,billing;account;network
t00210,Hardware problem billing seems off account settings problem. Please advise.,billing;account;hardware
t00211,Mfa not working. Please advise.,login
t00212,Account settings problem application won't open. Looking forward to your reply.,account;software
t00213,Can't see my account asap please. Please advise.,urgent;account
t00214,Software bug i'm not happy. Any guidance appreciated.,complaint;software
t00215,Vpn won't connect. Any guidance appreciated.,network
t00216,Can't log in please return the money the app crashes my account is locked. I would appreciate help.,refund;account;software;login
t00217,Software update failed mfa not working. Please advise.,software;login
t00218,I want a refund. What should I do?,refund
t00219,I want to complain. Please advise.,complaint
t00220,This is urgent. Thanks in advance.,urgent
t00221,Billing seems off screen is broken. I would appreciate help.,billing;hardware
t00222,Can't connect to network suspicious login attempt. Please advise.,network;security
t00223,I need my money back asap please. I would appreciate help.,urgent;refund
t00224,Forgot my password billing seems off. Thanks in advance.,billing;login
t00225,My invoice is wrong need this fixed now keyboard not working software update failed. I would appreciate help.,billing;urgent;hardware;software
t00226,My laptop won't turn on i'm not happy. What should I do?,complaint;hardware
t00227,Wi-fi is down. Looking forward to your reply.,network
t00228,Account settings problem. Please advise.,account
t00229,Need this fixed now my account is locked this is a complaint my laptop won't turn on mfa not working. Thanks in advance.,urgent;account;complaint;hardware;login
t00230,I want a refund can't connect to network the app crashes. Looking forward to your reply.,refund;software;network
t00231,Terrible service. What should I do?,complaint
t00232,I'm not happy my invoice is wrong. Thanks in advance.,billing;complaint
t00233,The app crashes my account is locked. I would appreciate help.,account;software
t00234,Keyboard not working the app crashes. What should I do?,hardware;software
t00235,Billing seems off. Any guidance appreciated.,billing
t00236,Can't see my account hardware problem wi-fi is down software bug. Any guidance appreciated.,account;hardware;software;network
t00237,Question about my bill vpn won't connect my account is locked. Looking forward to your reply.,billing;account;network
t00238,Login error. Thanks in advance.,login
t00239,Can't see my account. I would appreciate help.,account
t00240,The app crashes. Any guidance appreciated.,software
t00241,Please return the money. Thanks in advance.,refund
t00242,Question about my bill critical issue. Thanks in advance.,billing;urgent
t00243,Vpn won't connect. Any guidance appreciated.,network
t00244,Asap please account issue. Thanks in advance.,urgent;account
t00245,This is urgent can't see my account software update failed. Looking forward to your reply.,urgent;account;software
t00246,Forgot my password i want a refund. What should I do?,refund;login
t00247,Refund my last charge software bug keyboard not working. Thanks in advance.,refund;hardware;software
t00248,This is urgent suspicious login attempt terrible service. Any guidance appreciated.,urgent;complaint;security
t00249,Can't see my account please return the money my laptop won't turn on application won't open. What should I do?,refund;account;hardware;software
t00250,Forgot my password. Thanks in advance.,login
t00251,This is a complaint. What should I do?,complaint
t00252,Application won't open billing seems off need this fixed now. I would appreciate help.,billing;urgent;software
t00253,Software bug forgot my password. Thanks in advance.,software;login
t00254,Software update failed. Looking forward to your reply.,software
t00255,Software update failed i need my money back i'm not happy. What should I do?,refund;complaint;software
t00256,Login error wi-fi is down. Looking forward to your reply.,network;login
t00257,I need my money back. Looking forward to your reply.,refund
t00258,Keyboard not working account settings problem critical issue. Looking forward to your reply.,urgent;account;hardware
t00259,My account is locked hardware problem. Thanks in advance.,account;hardware
t00260,Asap please can't log in. Thanks in advance.,urgent;login
t00261,Application won't open wi-fi is down my laptop won't turn on. Looking forward to your reply.,hardware;software;network
t00262,Billing seems off hardware problem. I would appreciate help.,billing;hardware
t00263,Asap please. I would appreciate help.,urgent
t00264,I want to complain. Please advise.,complaint
t00265,I was double-billed. Any guidance appreciated.,billing
t00266,My account is locked software update failed. What should I do?,account;software
t00267,Software bug network keeps dropping. Please advise.,software;network
t00268,I want to complain software bug. What should I do?,complaint;software
t00269,Vpn won't connect. Please advise.,network
t00270,Can't log in. Please advise.,login
t00271,I think i was hacked account issue software bug please return the money. Looking forward to your reply.,refund;account;software;security
t00272,I need my money back. I would appreciate help.,refund
t00273,My invoice is wrong. What should I do?,billing
t00274,Login error screen is broken. Any guidance appreciated.,hardware;login
t00275,The app crashes this is a complaint forgot my password. What should I do?,complaint;software;login
t00276,Login error critical issue. I would appreciate help.,urgent;login
t00277,This is urgent billing seems off account issue. What should I do?,billing;urgent;account
t00278,This is a complaint vpn won't connect i need my money back. Please advise.,refund;complaint;network
t00279,Account issue. Any guidance appreciated.,account
t00280,I need my money back software bug asap please. Please advise.,urgent;refund;software
t00281,Screen is broken i want a refund. Thanks in advance.,refund;hardware
t00282,Terrible service billing seems off application won't open. Any guidance appreciated.,billing;complaint;software
t00283,My account is locked. Looking forward to your reply.,account
t00284,Terrible service. What should I do?,complaint
t00285,Can't see my account i need my money back need this fixed now screen is broken. Please advise.,urgent;refund;account;hardware
t00286,Wi-fi is down. Please advise.,network
t00287,The app crashes can't see my account. Any guidance appreciated.,account;software
t00288,Terrible service. Any guidance appreciated.,complaint
t00289,Need this fixed now. Thanks in advance.,urgent
t00290,The app crashes terrible service. Looking forward to your reply.,complaint;software
t00291,Security alert wi-fi is down. Any guidance appreciated.,network;security
t00292,My invoice is wrong asap please. Any guidance appreciated.,billing;urgent
t00293,Keyboard not working. Any guidance appreciated.,hardware
t00294,Can't log in account settings problem. I would appreciate help.,account;login
t00295,Critical issue forgot my password. Looking forward to your reply.,urgent;login
t00296,Mfa not working. Thanks in advance.,login
t00297,I was double-billed screen is broken i want to complain. Any guidance appreciated.,billing;complaint;hardware
t00298,Terrible service. What should I do?,complaint
t00299,Can't see my account this is urgent vpn won't connect. I would appreciate help.,urgent;account;network
t00300,My account is locked. What should I do?,account
t00301,My laptop won't turn on asap please can't see my account. What should I do?,urgent;account;hardware
t00302,My invoice is wrong login error need this fixed now. Please advise.,billing;urgent;login
t00303,Application won't open network keeps dropping. Looking forward to your reply.,software;network
t00304,Wi-fi is down forgot my password. Looking forward to your reply.,network;login
t00305,I need my money back screen is broken. Please advise.,refund;hardware
t00306,Software bug. Please advise.,software
t00307,Account settings problem network keeps dropping terrible service. Looking forward to your reply.,account;complaint;network
t00308,Mfa not working question about my bill. Looking forward to your reply.,billing;login
t00309,Terrible service. Please advise.,complaint
t00310,Can't see my account. Any guidance appreciated.,account
t00311,The app crashes. Please advise.,software
t00312,Forgot my password this is urgent. Please advise.,urgent;login
t00313,Can't log in. Thanks in advance.,login
t00314,Can't connect to network. Looking forward to your reply.,network
t00315,Asap please. Thanks in advance.,urgent
t00316,Account settings problem billing seems off. Please advise.,billing;account
t00317,The app crashes critical issue account issue. I would appreciate help.,urgent;account;software
t00318,This is urgent. I would appreciate help.,urgent
t00319,I need my money back. What should I do?,refund
t00320,Application won't open. Please advise.,software
t00321,This is urgent software update failed. Any guidance appreciated.,urgent;software
t00322,This is urgent question about my bill software update failed. Any guidance appreciated.,billing;urgent;software
t00323,This is a complaint. What should I do?,complaint
t00324,Wi-fi is down. What should I do?,network
t00325,Refund my last charge account issue this is urgent. Thanks in advance.,urgent;refund;account
t00326,Can't connect to network can't see my account critical issue. What should I do?,urgent;account;network
t00327,Suspicious login attempt. Thanks in advance.,security
t00328,Compromised account account issue. I would appreciate help.,account;security
t00329,This is a complaint. I would appreciate help.,complaint
t00330,Asap please account issue. Thanks in advance.,urgent;account
t00331,I need my money back. Thanks in advance.,refund
t00332,Account settings problem. What should I do?,account
t00333,Billing seems off asap please. Thanks in advance.,billing;urgent
t00334,Software update failed network keeps dropping i want to complain i want a refund. Any guidance appreciated.,refund;complaint;software;network
t00335,Critical issue. Thanks in advance.,urgent
t00336,Software update failed forgot my password asap please. Any guidance appreciated.,urgent;software;login
t00337,Asap please i'm not happy. Any guidance appreciated.,urgent;complaint
t00338,Critical issue. What should I do?,urgent
t00339,Can't log in. Thanks in advance.,login
t00340,Network keeps dropping. Any guidance appreciated.,network
t00341,My account is locked. I would appreciate help.,account
t00342,Account issue. Any guidance appreciated.,account
t00343,This is urgent. Please advise.,urgent
t00344,Hardware problem. Please advise.,hardware
t00345,Mfa not working my invoice is wrong. Any guidance appreciated.,billing;login
t00346,I'm not happy asap please. Thanks in advance.,urgent;complaint
t00347,My account is locked forgot my password. Any guidance appreciated.,account;login
t00348,Can't log in. Please advise.,login
t00349,I'm not happy software bug i think i was hacked. Any guidance appreciated.,complaint;software;security
t00350,Account issue need this fixed now software update failed. I would appreciate help.,urgent;account;software
t00351,My laptop won't turn on. Thanks in advance.,hardware
t00352,Wi-fi is down account settings problem i need my money back. What should I do?,refund;account;network
t00353,Question about my bill. Please advise.,billing
t00354,I was double-billed account settings problem. Any guidance appreciated.,billing;account
t00355,Can't see my account. Looking forward to your reply.,account
t00356,I want a refund. Thanks in advance.,refund
t00357,Forgot my password. I would appreciate help.,login
t00358,Compromised account. What should I do?,security
t00359,I'm not happy. What should I do?,complaint
t00360,Account settings problem. Looking forward to your reply.,account
t00361,My invoice is wrong. Looking forward to your reply.,billing
t00362,Can't see my account application won't open. Looking forward to your reply.,account;software
t00363,Account issue. What should I do?,account
t00364,Vpn won't connect asap please. Thanks in advance.,urgent;network
t00365,Can't see my account keyboard not working. I would appreciate help.,account;hardware
t00366,Application won't open i want to complain. I would appreciate help.,complaint;software
t00367,Please return the money i want to complain. Looking forward to your reply.,refund;complaint
t00368,Can't log in refund my last charge. I would appreciate help.,refund;login
t00369,I'm not happy software update failed. I would appreciate help.,complaint;software
t00370,Question about my bill terrible service. Any guidance appreciated.,billing;complaint
t00371,Question about my bill application won't open i need my money back. Please advise.,billing;refund;software
t00372,Mfa not working. What should I do?,login
t00373,Screen is broken. Thanks in advance.,hardware
t00374,I'm not happy forgot my password. Thanks in advance.,complaint;login
t00375,Account settings problem this is a complaint. Any guidance appreciated.,account;complaint
t00376,Account issue. Thanks in advance.,account
t00377,Question about my bill. Looking forward to your reply.,billing
t00378,Suspicious login attempt my invoice is wrong software update failed. Please advise.,billing;software;security
t00379,Software bug. What should I do?,software
t00380,My invoice is wrong my account is locked my laptop won't turn on. What should I do?,billing;account;hardware
t00381,Login error software bug account issue network keeps dropping. Any guidance appreciated.,account;software;network;login
t00382,Billing seems off critical issue forgot my password. Any guidance appreciated.,billing;urgent;login
t00383,Keyboard not working can't log in. Thanks in advance.,hardware;login
t00384,My account is locked. Thanks in advance.,account
t00385,Login error this is urgent. Thanks in advance.,urgent;login
t00386,Application won't open. Any guidance appreciated.,software
t00387,Login error critical issue software bug. Any guidance appreciated.,urgent;software;login
t00388,Software bug my invoice is wrong. Looking forward to your reply.,billing;software
t00389,Account settings problem. What should I do?,account
t00390,Application won't open account issue i want a refund. I would appreciate help.,refund;account;software
t00391,Billing seems off. Thanks in advance.,billing
t00392,Asap please this is a complaint hardware problem software update failed. Any guidance appreciated.,urgent;complaint;hardware;software
t00393,Question about my bill. Looking forward to your reply.,billing
t00394,Account settings problem refund my last charge. Any guidance appreciated.,refund;account
t00395,Need this fixed now mfa not working my laptop won't turn on. Any guidance appreciated.,urgent;hardware;login
t00396,My laptop won't turn on. What should I do?,hardware
t00397,Need this fixed now refund my last charge wi-fi is down. Thanks in advance.,urgent;refund;network
t00398,Account issue critical issue please return the money. Please advise.,urgent;refund;account
t00399,My laptop won't turn on. What should I do?,hardware
t00400,I need my money back. Looking forward to your reply.,refund
t00401,My account is locked mfa not working. Thanks in advance.,account;login
t00402,Refund my last charge. Any guidance appreciated.,refund
t00403,This is urgent please return the money can't log in my invoice is wrong. Looking forward to your reply.,billing;urgent;refund;login
t00404,I want to complain. What should I do?,complaint
t00405,My account is locked i'm not happy. I would appreciate help.,account;complaint
t00406,My account is locked. I would appreciate help.,account
t00407,I want to complain i was double-billed need this fixed now compromised account can't connect to network. Any guidance appreciated.,billing;urgent;complaint;network;security
t00408,Login error terrible service my invoice is wrong. Thanks in advance.,billing;complaint;login
t00409,Can't log in i'm not happy critical issue please return the money. Looking forward to your reply.,urgent;refund;complaint;login
t00410,Can't connect to network. Looking forward to your reply.,network
t00411,Can't log in i was double-billed software update failed. Please advise.,billing;software;login
t00412,This is urgent account issue. Any guidance appreciated.,urgent;account
t00413,Refund my last charge. Please advise.,refund
t00414,I'm not happy account issue. What should I do?,account;complaint
t00415,Software bug i'm not happy i need my money back. Any guidance appreciated.,refund;complaint;software
t00416,Vpn won't connect. I would appreciate help.,network
t00417,My account is locked. I would appreciate help.,account
t00418,Billing seems off network keeps dropping. Any guidance appreciated.,billing;network
t00419,I need my money back. Any guidance appreciated.,refund
t00420,Account issue. Looking forward to your reply.,account
t00421,Need this fixed now can't see my account. Please advise.,urgent;account
t00422,I was double-billed can't log in can't see my account. Please advise.,billing;account;login
t00423,I want a refund. Looking forward to your reply.,refund
t00424,This is a complaint asap please. What should I do?,urgent;complaint
t00425,Account issue keyboard not working. Please advise.,account;hardware
t00426,Can't connect to network. Thanks in advance.,network
t00427,Can't log in application won't open. Looking forward to your reply.,software;login
t00428,Keyboard not working account issue. What should I do?,account;hardware
t00429,Keyboard not working. What should I do?,hardware
t00430,Can't connect to network. I would appreciate help.,network
t00431,This is urgent i want to complain my account is locked software bug. Looking forward to your reply.,urgent;account;complaint;software
t00432,Need this fixed now account settings problem. Looking forward to your reply.,urgent;account
t00433,Critical issue can't see my account security alert. Please advise.,urgent;account;security
t00434,Software bug i'm not happy. What should I do?,complaint;software
t00435,Login error i want to complain. I would appreciate help.,complaint;login
t00436,Mfa not working. Thanks in advance.,login
t00437,Forgot my password account issue. Thanks in advance.,account;login
t00438,My invoice is wrong need this fixed now. Please advise.,billing;urgent
t00439,Account settings problem. Looking forward to your reply.,account
t00440,Network keeps dropping. I would appreciate help.,network
t00441,Can't see my account software bug. Thanks in advance.,account;software
t00442,I think i was hacked critical issue can't connect to network. Looking forward to your reply.,urgent;network;security
t00443,Refund my last charge. What should I do?,refund
t00444,Hardware problem. Thanks in advance.,hardware
t00445,I was double-billed. I would appreciate help.,billing
t00446,Need this fixed now. Please advise.,urgent
t00447,My invoice is wrong software update failed. I would appreciate help.,billing;software
t00448,Need this fixed now i was double-billed i want a refund. Please advise.,billing;urgent;refund
t00449,Mfa not working billing seems off. Please advise.,billing;login
t00450,Can't see my account i'm not happy application won't open i was double-billed. What should I do?,billing;account;complaint;software
t00451,Account issue. Any guidance appreciated.,account
t00452,Question about my bill software bug. What should I do?,billing;software
t00453,Software bug mfa not working. What should I do?,software;login
t00454,I need my money back. Thanks in advance.,refund
t00455,Vpn won't connect. Looking forward to your reply.,network
t00456,Please return the money. Thanks in advance.,refund
t00457,Billing seems off my account is locked. What should I do?,billing;account
t00458,Can't log in account issue. Looking forward to your reply.,account;login
t00459,I want to complain software bug network keeps dropping. Looking forward to your reply.,complaint;software;network
t00460,I want to complain. Looking forward to your reply.,complaint
t00461,This is urgent vpn won't connect. Looking forward to your reply.,urgent;network
t00462,Login error please return the money my account is locked this is urgent. Looking forward to your reply.,urgent;refund;account;login
t00463,Question about my bill can't log in. Please advise.,billing;login
t00464,Billing seems off. Any guidance appreciated.,billing
t00465,My account is locked. Looking forward to your reply.,account
t00466,My invoice is wrong account issue. Thanks in advance.,billing;account
t00467,I was double-billed account settings problem. Thanks in advance.,billing;account
t00468,Account settings problem terrible service. Any guidance appreciated.,account;complaint
t00469,This is urgent. What should I do?,urgent
t00470,Question about my bill vpn won't connect. Any guidance appreciated.,billing;network
t00471,Keyboard not working account issue. I would appreciate help.,account;hardware
t00472,Asap please. Please advise.,urgent
t00473,My invoice is wrong. Thanks in advance.,billing
t00474,Application won't open. Any guidance appreciated.,software
t00475,My account is locked login error billing seems off. What should I do?,billing;account;login
t00476,Asap please. Looking forward to your reply.,urgent
t00477,Keyboard not working. What should I do?,hardware
t00478,Screen is broken. What should I do?,hardware
t00479,I want a refund account issue hardware problem. What should I do?,refund;account;hardware
t00480,Billing seems off terrible service. Looking forward to your reply.,billing;complaint
t00481,The app crashes asap please. Any guidance appreciated.,urgent;software
t00482,Application won't open this is a complaint. Any guidance appreciated.,complaint;software
